MemberID,JoinDate,DateOfBirth,City,NoOfChild,EldestKidDOB,YoungestKidDOB
3d47296d92956ad3669769c16318a2de,2013-07-17,1983-04-01,KUBU RAYA,3,2011-07-03,2019-03-25
94f2dbc9b6ae8689663b168b6bcff3ca,2016-11-25,2016-11-25,MAKASAR,2,2014-09-05,2017-12-26
23e22dbecfa0564d43d79bb32694b557,2016-11-30,2017-02-06,BEKASI,1,2015-03-10,2015-03-10
eb7cd93fd803f3ec057d0fc144b3ea22,2016-12-01,2016-12-01,SEMARANG,1,2015-11-06,2015-11-06
2065ab9406e66082dc01faeceba90d42,2016-12-05,2017-04-28,SEMARANG,3,2013-07-08,2016-03-12
f9f0102f66689d3c52fa1d144149f2cc,2016-12-05,2016-12-05,SIAK,1,2014-08-22,2014-08-22
33c77ffc519aea1140c4537a7e14bb26,2016-12-05,2017-01-16,MALANG,1,2015-11-09,2015-11-09
c85bbf4a54caf8e3c12ba8bed87b4ca6,2016-12-07,2016-12-07,BEKASI,2,2015-10-24,2018-09-01
19f52f69567fd6c330555bc562499e63,2016-12-09,2016-12-09,SEMARANG,2,2015-11-21,2018-07-07
0d1f563326feaa1611dbf231ce4f8241,2016-12-16,2016-12-19,JAKARTA TIMUR,3,2015-08-12,2017-12-29
68d6353e5afd1b58b992136a8964ce0c,2016-12-16,2016-12-16,MAKASAR,3,2015-06-22,2015-10-22
4c4c602e20334605cc2de699a13353bd,2016-12-05,2016-12-05,JAKARTA TIMUR,2,2015-10-25,2018-10-26
0d56b69d03bacb9342dd605768bb3eea,2016-12-08,2016-12-08,MALANG,1,2015-03-26,2015-03-26
b35364c5eeba24b426f6399336aafa09,2016-12-13,2016-12-13,TANGERANG SELATAN,2,2015-04-01,2017-02-16
643b216c88ee3b91db9e74dc03fde41c,2016-12-05,2017-01-31,TANGERANG,1,2015-09-05,2015-09-05
c0f23c33662bfe09b5985c1dad29d6a6,2016-12-06,2016-12-06,TANGERANG,2,2014-07-15,2019-04-15
31110e517ec13c0db704448f4b9dec82,2016-12-06,2017-01-16,SEMARANG,1,2014-05-21,2014-05-21
49ec218ceadbcd660c39ef61588fca48,2016-12-13,2017-01-31,DENPASAR,1,2014-07-26,2014-07-26
c51a705e0ae8130dd44aad26264a0691,2010-11-09,2016-11-17,MEDAN,2,2007-11-30,2010-06-27
603bc8eef9e1970dd0213aceaaa31622,2016-06-14,2017-01-05,SURABAYA,2,2013-04-25,2015-05-06
6eae77fb530a73cc29af15b51919baca,2016-06-07,2016-12-27,JAKARTA TIMUR,2,2015-05-23,2019-09-30
b14d6282bfdaec110f29dbf0d8e4d357,2016-06-16,2016-12-28,SURABAYA,1,2015-02-15,2015-02-15
6431f8e4d557e186f8a969fb8711ce4f,2016-06-16,2016-12-07,BANYUWANGI,3,2013-06-28,2013-06-28
dab52286c27fd2585510c4beeecfa9ba,2016-06-21,2017-01-04,JAMBI,1,2013-06-06,2013-06-06
07b1f495971a1c554f50266e5c14499e,2016-06-15,2017-01-04,GRESIK,2,2008-12-07,2015-02-07
0483c26da0b3a70243399203631b0cfe,2016-06-07,2017-01-03,MALANG,2,2014-04-05,2018-11-11
b3791383fa504e37fa05c0120fea9838,2016-06-13,2017-01-04,JAKARTA BARAT,2,2013-02-03,2017-12-02
5637209f0bbe3f6ef9ad1c3c89e8f4f0,2014-11-25,1900-01-01,KENDARI,2,2008-10-28,2012-06-11
0239ee0eacaf4319b283a11e0f7bad4e,2012-03-13,2017-01-03,MINAHASA,5,2010-02-03,2019-02-09
65e8199c07b835cca9164caa9ea3bdc4,2011-06-25,1976-11-12,CIMAHI,2,2010-07-18,2019-08-01
fb3b129c66cb3ffe4e64101ab3255fd6,2013-04-09,2016-08-18,MALANG,2,2011-03-14,2015-03-09
479274acc3cb470b0672359823e9749d,2015-06-04,1985-05-11,PAYAKUMBUH,4,2013-01-13,2018-03-16
c2d20c91b5c3a108070fc2d478f05f6c,2015-03-11,1980-07-29,PONTIANAK,2,2011-08-01,2012-12-25
03e876e6518e15b507cdf6336f2dc4af,2014-08-29,1984-03-28,JAKARTA BARAT,2,2011-07-22,2019-09-14
6fcc3da2a2bfcb301139533fe4cf9f4b,2009-12-02,1983-11-15,BEKASI,3,2007-02-01,2017-11-27
01215dac790a80a0a2c4baaf0002a371,2012-02-29,1900-01-02,LAMPUNG TIMUR,2,2011-02-14,2016-02-22
d41ed73f2044a38951e5c73c0d3bf9e3,2015-06-24,2016-10-03,BANTUL,1,2014-06-06,2014-06-06
cc9132f3d358c980bd00fdbf5357c8cc,2015-07-30,1900-01-02,JAKARTA UTARA,2,2013-08-29,2019-12-24
7bcae9e3594dfd80b000fd02d9b9a09d,2015-04-30,2017-01-03,TANGERANG SELATAN,1,2013-11-05,2013-11-05
16a448bdf48a606b50d39c550c12eaa4,2012-07-26,1900-01-02,SURABAYA,3,2011-02-07,2017-06-01
692eb04dad8bd1f52c601775c69e058f,2012-08-06,2017-04-04,JAKARTA TIMUR,3,2011-06-24,2013-09-24
cda888ea39380b1e2a395040102caa99,2015-04-08,2016-09-06,MAKASAR,2,2012-07-26,2019-12-17
1e4f056206eded3f665618764f6de4db,2012-11-07,2017-01-06,BEKASI,7,2011-11-17,2018-06-01
86f73febf474d3d85f9f095a30f18065,2012-11-28,1981-04-08,MAKASAR,1,2011-09-23,2011-09-23
1be4f8551cef011c3273044235166c82,2015-02-18,1900-01-02,MALANG,3,2013-12-05,2018-03-01
02099063802cadc943b3cfe86721c682,2013-10-22,2016-12-24,BANDUNG,7,2011-11-11,2018-12-04
668e386666a44fd1821770a06be63a11,2013-08-21,2016-08-25,MALANG,6,2011-10-30,2019-12-08
