prodgramID,GrammageName,Point,Price
1,400 GR,25,102000
2,400 GR,25,102000
3,400 GR,50,132000
4,400 GR,50,132000
9,900 GR,440,
10,900 GR,690,
12,900 GR,100,264000
13,700 GR,50,201000
14,700 GR,50,144000
15,1,1,
16,900 GR,0,264000
17,400 GR,0,132000
18,400 GR,0,132000
19,900 GR,0,300000
20,700 GR,75,174000
22,700 GR,75,174000
23,1400 GR,175,396000
24,900 GR,500,300000
25,700 GR,200,174000
26,900 GR,500,264000
27,700 GR,200,174000
39,900 GR,100,300000
40,1400 GR,180,420000
49,400 GR,25,102000
52,700 GR,50,201000
53,,100,
54,1,1200,
